date,up_rain_sum,stage_mean,stage_max,up_rain_prev1,up_rain_prev3,up_rain_prev7,stage_max_prev1,stage_mean_prev1,is_flood,gurd_rain,gurd_rain_prev1,gurd_rain_prev3,gurd_rain_prev7
2019-08-15,0.0,349.24647916666663,349.35450000000003,0.0,0.27285805300000354,11.949798093,349.671,349.3541666666667,False,0.0,0.0,0.0,0.0
2019-08-16,0.0,349.2845,349.436,0.0,0.0,6.590437133,349.35450000000003,349.24647916666663,False,0.0,0.0,0.0,0.0
2019-08-17,0.0,349.2371666666667,349.798,0.0,0.0,5.421260138,349.436,349.2845,False,0.0,0.0,0.0,0.0
2019-08-18,0.0,349.32460416666663,349.67,0.0,0.0,4.513570758,349.798,349.2371666666667,False,0.0,0.0,0.0,0.0
2019-08-19,0.0,349.287,349.829,0.0,0.0,0.272858053,349.67,349.32460416666663,False,0.0,0.0,0.0,0.0
2019-08-20,0.0,349.21137500000003,349.877,0.0,0.0,0.0,349.829,349.287,False,0.0,0.0,0.0,0.0
2019-08-21,0.0,349.2416666666666,349.828,0.0,0.0,0.0,349.877,349.21137500000003,False,0.0,0.0,0.0,0.0
2019-08-22,0.0,349.4017083333333,349.747,0.0,0.0,0.0,349.828,349.2416666666666,False,0.0,0.0,0.0,0.0
2019-08-23,0.0,349.37529166666667,349.856,0.0,0.0,0.0,349.747,349.4017083333333,False,0.0,0.0,0.0,0.0
2019-08-24,0.0,349.41474999999997,350.204,0.0,0.0,0.0,349.856,349.37529166666667,False,0.0,0.0,0.0,0.0
2019-08-25,0.0,349.33825,349.674,0.0,0.0,0.0,350.204,349.41474999999997,False,0.0,0.0,0.0,0.0
2019-08-26,0.0,349.36383333333333,349.44,0.0,0.0,0.0,349.674,349.33825,False,0.0,0.0,0.0,0.0
2019-08-27,0.0,349.293625,349.415,0.0,0.0,0.0,349.44,349.36383333333333,False,0.0,0.0,0.0,0.0
2019-08-28,0.0,349.28383333333335,349.796,0.0,0.0,0.0,349.415,349.293625,False,0.0,0.0,0.0,0.0
2019-08-29,0.0,349.13841666666667,349.42,0.0,0.0,0.0,349.796,349.28383333333335,False,0.0,0.0,0.0,0.0
2019-08-30,0.0,349.22316666666666,349.817,0.0,0.0,0.0,349.42,349.13841666666667,False,0.0,0.0,0.0,0.0
2019-08-31,0.0,348.9052916666667,349.71,0.0,0.0,0.0,349.817,349.22316666666666,False,0.0,0.0,0.0,0.0
2019-09-01,0.0,349.07170833333333,349.394,0.0,0.0,0.0,349.71,348.9052916666667,True,0.0,0.0,0.0,0.0
2019-09-02,0.0,349.27524999999997,349.687,0.0,0.0,0.0,349.394,349.07170833333333,True,0.0,0.0,0.0,0.0
2019-09-03,0.0,349.3648333333333,349.773,0.0,0.0,0.0,349.687,349.27524999999997,True,0.0,0.0,0.0,0.0
2019-09-04,0.0,349.27329166666664,349.412,0.0,0.0,0.0,349.773,349.3648333333333,False,0.0,0.0,0.0,0.0
2019-09-05,0.0,349.3960833333333,349.881,0.0,0.0,0.0,349.412,349.27329166666664,False,0.0,0.0,0.0,0.0
2019-09-06,0.0,349.445625,349.895,0.0,0.0,0.0,349.881,349.3960833333333,False,0.0,0.0,0.0,0.0
2019-09-07,7.907428986,349.3199583333333,349.498,0.0,0.0,0.0,349.895,349.445625,False,0.0,0.0,0.0,0.0
2019-09-08,28.948915812,349.32212499999997,349.757,7.907428986,7.907428986000004,7.907428986,349.498,349.3199583333333,False,0.0,0.0,0.0,0.0
2019-09-09,3.078704088,349.3537083333333,349.588,28.948915812,36.856344798,36.856344798,349.757,349.32212499999997,False,0.0,0.0,0.0,0.0
2019-09-10,4.233778154,349.16195833333336,349.32,3.078704088,39.935048886000004,39.935048886,349.588,349.3537083333333,False,0.0,0.0,0.0,0.0
2019-09-11,0.331352403,349.1741666666667,349.289,4.233778154,36.261398054000004,44.16882704,349.32,349.16195833333336,False,0.0,0.0,0.0,0.0
